"last_name, first_name","player_id","year","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Springer III, George","543807","2018","617","22","122",19.8,10.4,".265",".434",".346",".340",".346",30.1,8.9,37.4,"100.053591643","94.091163859",21.8,24.6,44.3
"Strange-Gordon, Dee","543829","2018","588","4","80",13.6,1.5,".268",".349",".288",".277",".272",30.2,0.2,12.5,"92.172521004","90.196982686",39.5,15.2,55.1
"Gregorius, Didi","544369","2018","569","27","69",12.1,8.4,".268",".494",".335",".350",".318",32.8,4.7,30.8,"97.146679227","92.592951727",33.1,19.5,51.7
"Trout, Mike","545361","2018","608","39","124",20.4,20.1,".312",".628",".460",".447",".434",41,16.5,46.2,"103.530154261","96.114603105",18.1,18.6,37.6
"Herrera, Odúbel","546318","2018","597","22","122",20.4,6.4,".255",".420",".310",".315",".285",28.8,4.9,31.9,"98.41611554","93.233040518",38.2,27.3,52.4
"Harper, Bryce","547180","2018","695","34","169",24.3,18.7,".249",".496",".393",".376",".391",35.1,11.5,45.4,"102.062017113","95.359408191",25.3,31.3,45.7
"Abreu, José","547989","2018","553","22","109",19.7,6.7,".265",".473",".325",".337",".356",35.4,9.1,45.2,"102.778714091","95.630259116",34.8,24.6,49
"Suárez, Eugenio","553993","2018","606","34","142",23.4,10.6,".283",".526",".366",".376",".373",38.6,9.7,45.6,"101.179570462","94.983993462",21.8,25.7,44.7
"Polanco, Gregory","570256","2018","534","23","117",21.9,11.4,".254",".499",".340",".353",".339",33.6,9.4,37.8,"99.828552069","93.989606945",24.5,23.9,45.3
"Sánchez, Yolmer","570560","2018","662","8","138",20.8,7.4,".242",".372",".306",".297",".289",35.1,3,28.3,"96.258067895","92.139175077",31.4,21.5,47.9
"Arenado, Nolan","571448","2018","673","38","122",18.1,10.8,".297",".561",".374",".391",".353",35.6,7.2,40.5,"99.562138945","94.062325687",30.2,24.6,49.8
