"last_name, first_name","player_id","year","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Leake, Mike","502190","2019","835","41","127",15.2,3.2,".286",".506",".317",".341",".355",31.4,8.8,42.9,"80.453543825","94.685339864",30.4,18,50.4
"Anderson, Chase","502624","2019","592","23","124",20.9,8.4,".240",".449",".314",".320",".320",31.5,6.3,32.9,"76.388470622","93.149145896",30,23.4,49.8
"Darvish, Yu","506433","2019","731","33","229",31.3,7.7,".213",".411",".284",".294",".298",32.6,7.4,37.5,"77.989468148","93.709835568",31.7,29.8,48.3
"Bumgarner, Madison","518516","2019","844","30","203",24.1,5.1,".245",".426",".291",".300",".321",35.9,9,41.8,"80.539498293","94.529638345",31.6,24.6,50.7
"Duffy, Danny","518633","2019","555","21","115",20.7,8.3,".251",".438",".323",".323",".341",33.4,7.5,37.8,"78.943805156","93.940234204",25.6,24.1,47.6
"Kelly, Merrill","518876","2019","777","29","158",20.3,7.3,".260",".447",".314",".318",".345",33.2,9.5,40,"79.658110873","94.334380656",27.6,22.3,47.2
"Porcello, Rick","519144","2019","768","31","143",18.6,5.9,".278",".483",".326",".338",".334",34.9,9.6,37.7,"77.472255684","93.752973902",29.5,17.9,49.4
"Sale, Chris","519242","2019","612","24","218",35.6,6,".221",".412",".284",".294",".284",34.9,8.1,36.3,"78.006804211","93.662111789",33.2,31.8,47.4
"Zimmermann, Jordan","519455","2019","504","19","82",16.3,5,".311",".526",".351",".363",".363",37.9,9.5,38.4,"80.705658177","94.125352396",30.1,20.3,46.8
"Pérez, Martín","527048","2019","737","23","135",18.3,9.1,".279",".439",".346",".334",".306",33.8,5.3,29.7,"74.984020191","92.727144015",32.7,21.5,49
"Teheran, Julio","527054","2019","754","22","162",21.5,11,".229",".389",".328",".310",".327",31.2,6.9,35.4,"78.882257325","93.652615134",26.7,22.2,45.3
"Cole, Gerrit","543037","2019","817","29","326",39.9,5.9,".186",".343",".237",".246",".237",33.2,5.9,35.5,"76.678804977","93.320113158",32.3,37.2,49.9
"DeSclafani, Anthony","543101","2019","696","29","167",24,7,".238",".422",".295",".300",".297",33.4,7.1,38.7,"78.281595859","94.084247775",29.9,23.5,48.1
"Gray, Sonny","543243","2019","708","17","205",29,9.6,".196",".325",".281",".265",".286",30.1,6.8,33.3,"77.34451901","93.509332705",27.9,28.1,42.2
"Hendricks, Kyle","543294","2019","730","19","150",20.5,4.4,".249",".397",".290",".290",".294",33.6,5.4,31.5,"75.452932107","92.809975739",33.5,22,49.3
"Lyles, Jordan","543475","2019","599","25","146",24.4,9.2,".243",".454",".313",".321",".312",31,8.1,41.3,"80.158988095","94.055513148",28.9,23.9,47.4
"Odorizzi, Jake","543606","2019","658","16","178",27.1,8.1,".234",".371",".300",".289",".299",37.1,7.8,36.2,"79.410891068","93.679724672",28.9,27.7,49.2
"Roark, Tanner","543699","2019","722","28","158",21.9,7.1,".275",".467",".338",".340",".342",37.1,8.4,37.3,"78.472414874","93.904787242",26,20.8,45.9
"Strasburg, Stephen","544931","2019","841","24","251",29.8,6.7,".210",".349",".271",".265",".267",29.8,6.1,33.8,"77.367434479","93.302916673",35.1,30.5,47.7
"Bauer, Trevor","545333","2019","911","34","253",27.8,9,".230",".429",".315",".316",".310",33.8,8.6,37.7,"78.030029018","93.847217",28,29.3,45.3
